state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent 
 0	-8182.223009192865	-2836.7182448149238	-5345.504764377941	1081933.913303808	4990444.840491384	584657.2838832474	1.0040178921220079E-7	1.004017892122009E-7	-5345.504764377941	0.0	-2838.13460987561	
10000	-8213.389037256333	-2850.1939187927364	-5363.195118463596	1092086.3041247334	5308261.463731308	626597.446527722	8.845046575493425E-8	8.845046575493422E-8	-5363.195118463596	0.0	-2851.666775109768	
20000	-8195.323117385535	-2824.819719070122	-5370.503398315412	1078565.537553057	4663347.236827637	544306.5672550375	9.838829252413588E-8	9.838829252413583E-8	-5370.503398315412	0.0	-2826.3260614741735	
30000	-8190.326451178273	-2834.5682670295523	-5355.758184148721	1078122.9396226748	4894682.213999923	605443.10429609	9.239616777943061E-8	9.239616777943069E-8	-5355.758184148721	0.0	-2836.030356457193	
40000	-8168.083698682399	-2803.8758700686767	-5364.207828613722	1085867.3359590555	4503419.131484279	496793.13603591337	1.0724313390058614E-7	1.0724313390058608E-7	-5364.207828613722	0.0	-2805.3888727386775	
50000	-8162.779534667523	-2807.8508303638173	-5354.928704303706	1067357.16942632	4319585.805867861	505006.85620477784	1.249209915301067E-7	1.249209915301069E-7	-5354.928704303706	0.0	-2809.1936584165237	
60000	-8160.673168826233	-2790.2779310069923	-5370.395237819242	1049415.4426131719	4125575.437641997	438478.4303754544	1.2700170497084473E-7	1.270017049708446E-7	-5370.395237819242	0.0	-2791.7464357463264	
70000	-8177.917101896581	-2784.29052048892	-5393.626581407661	1065916.3489668055	4140497.3037726646	439230.13940533804	1.240361779249345E-7	1.2403617792493453E-7	-5393.626581407661	0.0	-2785.7813148038495	
80000	-8196.42199280329	-2826.756161072255	-5369.665831731036	1082923.1772420844	4816106.77664548	520527.81602495397	1.0029035280632296E-7	1.0029035280632297E-7	-5369.665831731036	0.0	-2828.2895248584523	
90000	-8204.22446166332	-2823.3648739716446	-5380.859587691675	1073384.31452117	4810697.572225212	545122.8998308027	9.312136222429491E-8	9.312136222429487E-8	-5380.859587691675	0.0	-2824.9236212057313	
100000	-8188.113344649458	-2798.4144505753848	-5389.698894074073	1061939.5892485934	4317827.147149909	419788.000123613	1.105254944640108E-7	1.1052549446401087E-7	-5389.698894074073	0.0	-2800.065491791787	
110000	-8189.134212107582	-2799.705838416765	-5389.428373690817	1061608.836074607	4398219.540390817	463849.98234992975	1.1119949769980487E-7	1.1119949769980491E-7	-5389.428373690817	0.0	-2801.251402374812	
120000	-8217.472233011767	-2832.6990336859653	-5384.773199325802	1066152.9641512197	4864875.747263457	591872.3822084551	9.945974127823449E-8	9.945974127823449E-8	-5384.773199325802	0.0	-2834.1122954488806	
130000	-8178.800605647827	-2802.894572625358	-5375.906033022469	1061691.8741140754	4324396.666113818	471257.985094382	1.033497712514755E-7	1.033497712514755E-7	-5375.906033022469	0.0	-2804.4945862909085	
140000	-8159.461139343601	-2775.3476762022838	-5384.113463141317	1068665.5414014626	4097686.8441718603	424723.7213304645	1.2009623057613104E-7	1.2009623057613114E-7	-5384.113463141317	0.0	-2776.904453187329	
150000	-8196.002957365094	-2821.770206533115	-5374.2327508319795	1083284.131832244	4789669.665853727	611872.3081004997	9.873280005880925E-8	9.87328000588093E-8	-5374.2327508319795	0.0	-2823.157075514243	
160000	-8227.678073721641	-2849.490526585485	-5378.187547136156	1077056.6699046078	5189178.135738077	598668.840206811	1.0366463341786111E-7	1.0366463341786115E-7	-5378.187547136156	0.0	-2850.849858880692	
170000	-8231.22464044795	-2861.5667314263624	-5369.657909021587	1083385.1048476805	5409404.576736353	632949.3313640363	9.125131211091315E-8	9.125131211091325E-8	-5369.657909021587	0.0	-2862.9992545905498	
180000	-8252.547761116344	-2870.773660998391	-5381.774100117953	1089058.650361786	5712466.748866658	638628.2059795093	9.058719004771092E-8	9.058719004771095E-8	-5381.774100117953	0.0	-2872.2042992764555	
190000	-8235.950926886468	-2865.603649894214	-5370.347276992254	1091809.7554869154	5390826.166531865	719924.2207080425	9.062982699596734E-8	9.062982699596739E-8	-5370.347276992254	0.0	-2866.914159907313	
200000	-8269.845985856986	-2861.79545453965	-5408.050531317336	1076026.5386688814	5490462.499034105	623417.5588231446	9.047202280952268E-8	9.047202280952273E-8	-5408.050531317336	0.0	-2863.2517586501986	
210000	-8266.109680804906	-2883.7807992076177	-5382.328881597288	1072587.9636750752	5835799.973199889	744591.3181264746	7.691088368526164E-8	7.691088368526165E-8	-5382.328881597288	0.0	-2885.219077127923	
220000	-8245.369665969467	-2855.0112827654407	-5390.358383204027	1090388.7581312875	5372577.731255353	647990.3641683582	9.932875475682687E-8	9.932875475682677E-8	-5390.358383204027	0.0	-2856.3344598160215	
230000	-8211.323039121131	-2829.8943895966254	-5381.428649524506	1086105.5947229292	4871014.994954383	555079.7292216398	9.611289686745355E-8	9.611289686745354E-8	-5381.428649524506	0.0	-2831.405267862494	
240000	-8243.60442289374	-2873.8743784472044	-5369.730044446536	1073748.0229711924	5640810.507146223	739187.9965220349	7.945555703111627E-8	7.945555703111634E-8	-5369.730044446536	0.0	-2875.2873153640057	
250000	-8252.39231184857	-2883.6841629267383	-5368.708148921833	1080805.8693066093	5933972.837248837	760031.4843962223	8.078927472604071E-8	8.078927472604065E-8	-5368.708148921833	0.0	-2885.0550945443742	
260000	-8263.485958753145	-2877.273297619734	-5386.212661133411	1088761.0447681209	5816791.808865611	647798.9685633169	8.740276188230685E-8	8.740276188230669E-8	-5386.212661133411	0.0	-2878.7256925071433	
270000	-8237.44693297048	-2851.203716088065	-5386.243216882416	1086794.1479827687	5521782.545277082	713615.6354801033	9.157250562391428E-8	9.157250562391429E-8	-5386.243216882416	0.0	-2852.5127809403853	
280000	-8244.446248063843	-2857.516861905028	-5386.929386158816	1083717.9166307803	5519812.233314867	663311.8436899668	8.743448081237433E-8	8.74344808123743E-8	-5386.929386158816	0.0	-2858.9449897926283	
290000	-8253.856146289487	-2852.6911765285467	-5401.164969760941	1111861.1057377823	5357149.972254243	630575.1724421585	9.37291258688104E-8	9.372912586881044E-8	-5401.164969760941	0.0	-2854.1007027097558	
300000	-8225.077555901633	-2851.162269810644	-5373.915286090988	1083464.9212822355	5269572.825654868	608984.2999295729	9.585935338593382E-8	9.585935338593386E-8	-5373.915286090988	0.0	-2852.5841410818257	
310000	-8210.667384333097	-2826.8326198575874	-5383.83476447551	1080535.7937482027	4978389.407548824	544261.4034088	9.751337441419363E-8	9.751337441419369E-8	-5383.83476447551	0.0	-2828.3495570727105	
320000	-8234.842039614756	-2858.5862598101985	-5376.255779804558	1067974.053270982	5162682.615342761	640657.7248288376	9.555620690706934E-8	9.555620690706936E-8	-5376.255779804558	0.0	-2859.9605769252566	
330000	-8218.508791052664	-2853.9653245288464	-5364.543466523818	1070764.728230171	5189346.328132559	663579.968789663	9.799178077457214E-8	9.799178077457206E-8	-5364.543466523818	0.0	-2855.279291912166	
340000	-8246.61058400704	-2865.6519453425335	-5380.958638664506	1073399.223622769	5626937.7803759985	707700.1752055255	9.314564143062585E-8	9.314564143062575E-8	-5380.958638664506	0.0	-2866.9517686055824	
350000	-8236.98666563577	-2862.5823747499953	-5374.4042908857755	1080162.8115728255	5624567.429490903	666257.907525527	9.497076805247674E-8	9.497076805247678E-8	-5374.4042908857755	0.0	-2863.9225838447824	
360000	-8222.692157802761	-2834.242736108168	-5388.449421694593	1076687.3538474427	5016314.068777001	569499.75970836	9.056531140335651E-8	9.056531140335649E-8	-5388.449421694593	0.0	-2835.7862537527253	
370000	-8231.223121385325	-2860.3769805053303	-5370.846140879994	1069462.672092963	5286348.449627732	625337.137455007	9.329771876873197E-8	9.329771876873205E-8	-5370.846140879994	0.0	-2861.799419343838	
380000	-8208.576140584843	-2825.6745968545574	-5382.901543730285	1074846.538376372	4939739.438599673	493967.28814959415	9.172109221755998E-8	9.172109221756006E-8	-5382.901543730285	0.0	-2827.347597346111	
390000	-8232.942453204327	-2851.614099475266	-5381.32835372906	1101361.9255829968	5330918.844479881	605721.0051692593	8.293191564458084E-8	8.293191564458088E-8	-5381.32835372906	0.0	-2853.1825964646932	
400000	-8227.72680857536	-2863.030090966502	-5364.696717608857	1118558.28309897	5728563.264486912	663055.6939530061	9.114349638370812E-8	9.114349638370805E-8	-5364.696717608857	0.0	-2864.41689347339	
410000	-8228.264274671357	-2854.567201964222	-5373.697072707136	1083786.8890359718	5448967.784098795	672818.8253273754	9.296235942772963E-8	9.296235942772976E-8	-5373.697072707136	0.0	-2855.9200607090065	
420000	-8208.383783359082	-2843.920683995061	-5364.463099364021	1079280.662351493	5065779.563962417	500965.0587550304	9.250674550384059E-8	9.25067455038407E-8	-5364.463099364021	0.0	-2845.5724100698544	
430000	-8212.913240300246	-2831.0200987098265	-5381.89314159042	1073895.7411893758	4996406.207163398	586668.3697222702	9.640746787239683E-8	9.640746787239684E-8	-5381.89314159042	0.0	-2832.4732837268275	
440000	-8223.371774096871	-2850.866858653058	-5372.504915443814	1071128.3617953022	5184326.772159531	614402.717718099	9.138150607075115E-8	9.138150607075114E-8	-5372.504915443814	0.0	-2852.3270228722276	
450000	-8204.414426303434	-2842.8140601182145	-5361.600366185219	1083365.372690797	4954854.417877171	647856.6190192691	9.752487409505882E-8	9.752487409505879E-8	-5361.600366185219	0.0	-2844.1565672966412	
460000	-8215.67716970162	-2855.9800823900205	-5359.697087311598	1078869.3247586575	5300859.252207365	635862.888888452	9.144749447958164E-8	9.144749447958171E-8	-5359.697087311598	0.0	-2857.4056690886478	
470000	-8217.419421461504	-2841.3459403610927	-5376.073481100411	1079668.915005884	5106345.053485383	533851.9960864073	9.261165639489664E-8	9.261165639489661E-8	-5376.073481100411	0.0	-2842.9332170643947	
480000	-8214.30820593569	-2866.2214307918334	-5348.086775143856	1094519.2047392027	5519551.203308808	623045.4825379439	8.786060219637609E-8	8.786060219637609E-8	-5348.086775143856	0.0	-2867.7074006833477	
490000	-8223.510647230423	-2863.8886207905416	-5359.622026439882	1080914.8849477398	5333529.413612959	703985.772573396	8.925778297047524E-8	8.925778297047522E-8	-5359.622026439882	0.0	-2865.2363138971627	
500000	-8242.149692178707	-2873.2481730783284	-5368.901519100379	1081519.4729022991	5680982.4799836455	603781.4513722617	8.33977381843087E-8	8.339773818430859E-8	-5368.901519100379	0.0	-2874.8171991677614	
510000	-8255.416579363782	-2878.727996385233	-5376.68858297855	1085816.4977497358	5847006.768377667	773303.920557271	7.711662509474919E-8	7.711662509474927E-8	-5376.68858297855	0.0	-2880.125996279986	
520000	-8253.601043623055	-2883.723018445482	-5369.878025177573	1079629.7736661162	5797050.028257601	618516.621597282	8.588334865845015E-8	8.588334865845008E-8	-5369.878025177573	0.0	-2885.2392718906563	
530000	-8256.576626194064	-2888.9169982262656	-5367.659627967799	1097171.598054427	6199302.361001489	804488.3141736054	7.940088348026264E-8	7.940088348026267E-8	-5367.659627967799	0.0	-2890.248793310727	
540000	-8259.980898571397	-2894.793392824758	-5365.1875057466395	1097715.902548785	6229077.324528962	826312.762366634	7.946074848429156E-8	7.94607484842916E-8	-5365.1875057466395	0.0	-2896.097702829884	
550000	-8238.869600614507	-2875.336837330837	-5363.53276328367	1093190.815672882	5739156.2119427705	697489.6926964846	8.364875765656017E-8	8.364875765656017E-8	-5363.53276328367	0.0	-2876.7588870944223	
560000	-8227.360407571425	-2846.6189668174857	-5380.74144075394	1070214.815161621	5143815.23487427	655242.3702840725	9.041524322053007E-8	9.041524322053008E-8	-5380.74144075394	0.0	-2848.024841386764	
570000	-8190.803381436404	-2813.6403297037323	-5377.163051732672	1060740.4580928367	4584620.385798434	561816.1330142164	1.1541971340794589E-7	1.1541971340794596E-7	-5377.163051732672	0.0	-2814.9563335479843	
580000	-8187.144991174764	-2812.703520589616	-5374.441470585148	1056186.4001709223	4501775.438020195	494902.8799658622	1.1193458172946007E-7	1.1193458172946008E-7	-5374.441470585148	0.0	-2814.1778012991517	
590000	-8214.63860407994	-2837.112606097453	-5377.525997982488	1066950.0890355064	4990499.929257401	576481.8355447605	9.518020047616932E-8	9.518020047616953E-8	-5377.525997982488	0.0	-2838.5958155327153	
600000	-8217.06289216144	-2848.6384269949385	-5368.424465166503	1080002.5576205072	5261559.734378671	644004.4803871016	8.94084795070254E-8	8.940847950702539E-8	-5368.424465166503	0.0	-2850.0731672233533	
610000	-8188.373591156378	-2829.6758454911396	-5358.6977456652385	1063194.6312969853	4859066.7456712825	527925.4240665049	1.013371923477462E-7	1.013371923477462E-7	-5358.6977456652385	0.0	-2831.1849507025504	
620000	-8186.17660240859	-2810.8933693108006	-5375.283233097789	1089546.313050048	4618923.891469624	569512.710884957	1.1000734655871799E-7	1.1000734655871806E-7	-5375.283233097789	0.0	-2812.244547924877	
630000	-8209.24496486841	-2833.7676385535888	-5375.477326314822	1072926.333344619	4961517.409128739	526894.3967795973	1.0221736528515774E-7	1.0221736528515785E-7	-5375.477326314822	0.0	-2835.2700581715	
640000	-8254.001813651194	-2887.9256865406896	-5366.076127110503	1099574.4811411572	6078017.710289271	738901.466070947	8.08742171248803E-8	8.08742171248803E-8	-5366.076127110503	0.0	-2889.3241267821463	
650000	-8222.673531895227	-2869.955702798041	-5352.717829097187	1078637.6514289647	5530436.722776257	792774.9129093975	8.40835822005617E-8	8.408358220056167E-8	-5352.717829097187	0.0	-2871.2436402316885	
660000	-8222.342112470265	-2844.1050303786274	-5378.237082091638	1086968.0826349338	5140309.349211625	626617.651816998	9.36784368903737E-8	9.367843689037375E-8	-5378.237082091638	0.0	-2845.5210482747107	
670000	-8205.51092195983	-2842.7791417506987	-5362.731780209132	1078723.173367498	5090129.059368333	529434.701015129	9.640881079430847E-8	9.640881079430845E-8	-5362.731780209132	0.0	-2844.3352193963888	
680000	-8203.460275887748	-2837.7826002710917	-5365.677675616657	1067700.3470873341	4851022.29400226	558211.9551830603	9.757858824092395E-8	9.757858824092402E-8	-5365.677675616657	0.0	-2839.273039290638	
690000	-8228.63510281226	-2816.840785480415	-5411.794317331845	1071042.564425712	4747060.248562717	557016.587659979	1.0178295809089833E-7	1.0178295809089844E-7	-5411.794317331845	0.0	-2818.2916300253455	
700000	-8200.510494961902	-2802.9958011927797	-5397.5146937691225	1060013.09253578	4413643.325707393	476222.21991633915	1.1827435902206847E-7	1.1827435902206858E-7	-5397.5146937691225	0.0	-2804.4530104877945	
710000	-8180.803297234685	-2810.8904401685486	-5369.912857066136	1063286.897572181	4385615.470167115	552261.865059365	1.1578785663588186E-7	1.1578785663588189E-7	-5369.912857066136	0.0	-2812.2211699414697	
720000	-8190.953407261279	-2808.5957960500773	-5382.357611211201	1051193.1579554158	4375737.433736747	515935.278755857	1.1671865264239522E-7	1.1671865264239536E-7	-5382.357611211201	0.0	-2809.986506869828	
730000	-8201.720155083707	-2820.7294113138278	-5380.990743769879	1069472.3550480194	4691379.4252588535	491433.68294724426	1.1116106705401308E-7	1.1116106705401304E-7	-5380.990743769879	0.0	-2822.217226771739	
740000	-8184.103992781802	-2809.8298353885316	-5374.27415739327	1074523.5422507254	4595860.431418021	460770.89921224385	1.1016479262460047E-7	1.1016479262460054E-7	-5374.27415739327	0.0	-2811.3914897144036	
750000	-8201.813553949414	-2820.312623634959	-5381.500930314456	1063212.6239604643	4668645.694562644	529683.3849647903	1.0724220047204637E-7	1.0724220047204638E-7	-5381.500930314456	0.0	-2821.761825929911	
760000	-8196.963335297734	-2812.690543087538	-5384.272792210196	1086153.723286908	4579592.076655291	479058.86358743935	1.0009125305151673E-7	1.0009125305151671E-7	-5384.272792210196	0.0	-2814.307374289091	
770000	-8185.387619156199	-2813.132872971657	-5372.2547461845425	1062752.1236361803	4487492.347008505	518422.43755309883	1.1387516693127467E-7	1.1387516693127477E-7	-5372.2547461845425	0.0	-2814.543432194137	
780000	-8201.323933415182	-2829.1003923502244	-5372.223541064957	1070974.030601465	4812266.271542716	602427.7732344337	9.708503317420228E-8	9.708503317420229E-8	-5372.223541064957	0.0	-2830.5192839686047	
790000	-8210.99829992975	-2829.15980690209	-5381.838493027661	1069087.8228352326	4847754.453224778	558307.5725894277	1.0502922059234786E-7	1.0502922059234786E-7	-5381.838493027661	0.0	-2830.5771474877233	
800000	-8215.608948491843	-2835.817425118941	-5379.791523372902	1077051.583358688	5097919.721895531	555180.0882064496	9.773459006896323E-8	9.773459006896323E-8	-5379.791523372902	0.0	-2837.3124459652913	
810000	-8238.482540329029	-2876.1464543208244	-5362.336086008205	1099416.335003402	5938708.198873036	716926.5407209856	7.93915562906315E-8	7.939155629063147E-8	-5362.336086008205	0.0	-2877.5928154365024	
820000	-8250.910704623286	-2879.042283456011	-5371.868421167275	1094237.443792053	5911662.7949804505	701937.2114939324	8.10938359179073E-8	8.10938359179073E-8	-5371.868421167275	0.0	-2880.488968157336	
830000	-8225.04404328757	-2847.589055922594	-5377.454987364976	1079795.792765157	5243993.761043113	589536.6753513546	1.0212710153846981E-7	1.0212710153846977E-7	-5377.454987364976	0.0	-2848.9788657050235	
840000	-8204.549719757759	-2845.6502365350384	-5358.899483222721	1068677.9469332565	5148030.212315769	565252.8342146316	9.660019337849292E-8	9.660019337849296E-8	-5358.899483222721	0.0	-2847.138947379034	
