state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent 
 0	-71685.91339192216	-1699.674243623579	-69986.23914829858	279.3562479733354	8513.251927515195	1895.4562411610318	0.0016441222344039462	0.0016441222344039455	-69986.23914829858	0.0	-1685.2878010065106	
10000	-71677.50042793776	-1695.9842846689091	-69981.51614326885	293.2364659760592	8424.320274339718	1718.263154125337	0.0016708630006448102	0.001670863000644809	-69981.51614326885	0.0	-1681.6036119542805	
20000	-71701.47764476687	-1701.6632771718798	-69999.81436759498	289.6609917894761	8586.457499063868	1506.6540654934524	0.0016631542052177187	0.0016631542052177198	-69999.81436759498	0.0	-1687.2211531547682	
30000	-71677.37136928644	-1690.8476380128704	-69986.52373127357	281.5449264108612	8183.040691096343	1767.8797004610901	0.0017481820996584148	0.0017481820996584148	-69986.52373127357	0.0	-1676.1717905720095	
40000	-71711.59627640461	-1696.085946942013	-70015.5103294626	267.3514381850634	8376.552776509821	1559.783863956589	0.0016902061826221018	0.0016902061826221037	-70015.5103294626	0.0	-1681.7112264160803	
50000	-71702.32134703893	-1702.1107718035405	-70000.2105752354	279.4022160098719	8633.96317515945	1646.7504262135794	0.0016538187088378494	0.0016538187088378494	-70000.2105752354	0.0	-1687.586901447346	
60000	-71710.72646885378	-1705.22132050854	-70005.50514834524	293.00619536086305	8753.103068039944	1693.6698734949289	0.0016405132968947103	0.0016405132968947095	-70005.50514834524	0.0	-1690.5996754435869	
70000	-71690.52472798999	-1698.0907454892665	-69992.43398250072	295.84805686151407	8532.724698576783	1720.7067431706216	0.0016726971194300428	0.0016726971194300408	-69992.43398250072	0.0	-1683.517717103862	
80000	-71697.16478721044	-1701.930150184463	-69995.23463702598	273.9782115282377	8647.714529585393	1767.661895169858	0.0016433469140054455	0.001643346914005445	-69995.23463702598	0.0	-1687.4072125991643	
90000	-71684.84874527472	-1702.8942399507246	-69981.954505324	284.54116010738034	8677.084625379155	1869.1214568993835	0.0016245300705581046	0.001624530070558105	-69981.954505324	0.0	-1688.437955104274	
100000	-71690.3113698864	-1705.0300022689953	-69985.28136761741	314.3764041646357	8806.147776082447	1883.78049630672	0.0016198026070335107	0.0016198026070335112	-69985.28136761741	0.0	-1690.4067084375743	
110000	-71698.6379444955	-1713.7235242774007	-69984.91442021809	296.3016538194177	9127.184031334387	1728.0397590817918	0.0015574884546139165	0.0015574884546139167	-69984.91442021809	0.0	-1699.2727792326245	
120000	-71716.37330821018	-1724.5174647590943	-69991.85584345109	311.20331822423867	9646.081080868324	2077.504561255696	0.001481176462975116	0.0014811764629751158	-69991.85584345109	0.0	-1709.8632416398723	
130000	-71726.65296810756	-1732.8736496990864	-69993.77931840847	323.99791844779213	10057.602222274456	1861.0708165714734	0.0013551830852215631	0.0013551830852215647	-69993.77931840847	0.0	-1719.0524364293199	
140000	-71717.93221320237	-1734.280197650133	-69983.65201555223	324.24044082950496	10148.410277240651	2125.007677736468	0.0014003066864378647	0.0014003066864378651	-69983.65201555223	0.0	-1719.7334834218204	
150000	-71726.04597598812	-1729.083349601719	-69996.9626263864	325.07032753749394	9864.65340062507	1841.3612163508108	0.0014089490464401985	0.0014089490464401987	-69996.9626263864	0.0	-1714.9747425345606	
160000	-71709.46619962725	-1716.8357395576056	-69992.63046006965	290.34207417843277	9220.268914296748	1598.1103359580434	0.001544488473415624	0.001544488473415625	-69992.63046006965	0.0	-1702.4473093801219	
170000	-71685.85000761077	-1703.9725589694428	-69981.87744864133	275.8948412643076	8695.377410370847	1710.785474817856	0.001653292410106125	0.0016532924101061261	-69981.87744864133	0.0	-1689.3172513701575	
180000	-71703.37227086477	-1709.5808122485153	-69993.79145861625	292.5482922089958	8962.854115784512	1937.5297800477852	0.0015775386181187611	0.0015775386181187605	-69993.79145861625	0.0	-1695.07639641704	
190000	-71706.3559748675	-1709.9791210505705	-69996.37685381694	299.3754158950302	9080.325733397436	1902.201225542035	0.0015417826557664967	0.0015417826557664975	-69996.37685381694	0.0	-1695.6504410028786	
200000	-71695.42872004115	-1711.7178702005901	-69983.71084984056	300.1777799107045	9066.119991942689	1697.2701578384867	0.001553256233844233	0.0015532562338442316	-69983.71084984056	0.0	-1697.416572124736	
210000	-71696.8013876356	-1707.1869557524003	-69989.6144318832	299.3977351261834	8854.296229446976	1967.208088640662	0.0015896580279840431	0.0015896580279840464	-69989.6144318832	0.0	-1692.7213643397938	
220000	-71691.18673791266	-1706.5381100303205	-69984.64862788234	297.1112040048282	8812.152352689349	1967.6541399378534	0.0016024459916606118	0.001602445991660612	-69984.64862788234	0.0	-1692.0202050863163	
230000	-71695.49729711615	-1706.7430088673225	-69988.75428824882	289.58838349600023	8803.648717527818	1972.21732564477	0.0016058641817822642	0.0016058641817822622	-69988.75428824882	0.0	-1692.2047734340492	
240000	-71690.62916745021	-1713.3901278796961	-69977.23903957052	295.7754961238318	9112.820127376783	1829.1794663257688	0.0015393388712806098	0.0015393388712806072	-69977.23903957052	0.0	-1699.075341804183	
250000	-71716.43284851157	-1712.310360338206	-70004.12248817337	295.1582631197938	9143.953341186965	1783.2222452902786	0.0015302840223858237	0.0015302840223858224	-70004.12248817337	0.0	-1698.0605474529368	
260000	-71701.23401529757	-1718.309487032051	-69982.92452826552	305.97811199169763	9346.127868721527	1872.7309591169383	0.0015558070445614214	0.0015558070445614186	-69982.92452826552	0.0	-1703.4654365977133	
270000	-71715.35337043343	-1729.987440844493	-69985.36592958894	314.68391560341706	9949.28397036	2072.4557532727235	0.0014144081812440335	0.0014144081812440372	-69985.36592958894	0.0	-1715.5893876923626	
280000	-71711.09878884761	-1722.2532025018925	-69988.84558634572	317.61661990929736	9574.207483445958	2079.2883365388084	0.0014742142329852406	0.001474214232985239	-69988.84558634572	0.0	-1707.7698527469774	
290000	-71708.4241673845	-1723.9595976397568	-69984.46456974474	323.452439153647	9660.062562765654	2090.367141379165	0.001465412638848712	0.0014654126388487117	-69984.46456974474	0.0	-1709.4368468375799	
300000	-71726.86480628008	-1727.567517960862	-69999.29728831921	322.8838480050282	9834.118268958138	2185.693334987098	0.001438005671518111	0.0014380056715181104	-69999.29728831921	0.0	-1713.0330023748745	
310000	-71702.95753104416	-1720.7013092547713	-69982.25622178939	332.5303874844471	9527.929016860106	1901.069490635097	0.0014970925885787747	0.0014970925885787751	-69982.25622178939	0.0	-1706.1476869931596	
320000	-71697.16427565002	-1721.7680786892702	-69975.39619696075	299.5108289919379	9415.00107368371	2268.805299758069	0.0014981342282141513	0.0014981342282141498	-69975.39619696075	0.0	-1707.190566880974	
330000	-71700.81663438033	-1719.3828949393824	-69981.43373944095	311.92196865188066	9429.499345302494	1836.4939044599905	0.0015085147172733365	0.0015085147172733363	-69981.43373944095	0.0	-1704.8944919242651	
340000	-71703.20353742452	-1720.0527500073879	-69983.15078741712	334.54784755875863	9500.561829392138	2077.9273231644447	0.0014918621837090792	0.0014918621837090792	-69983.15078741712	0.0	-1705.5011481342874	
350000	-71699.69165959934	-1729.5303127076256	-69970.16134689172	310.2705234058353	9867.196786704848	2168.9624194291646	0.0014204293155496137	0.0014204293155496137	-69970.16134689172	0.0	-1715.137171600498	
360000	-71700.85619246814	-1720.605877168549	-69980.25031529959	320.4350313036004	9468.767405872393	2070.2041064170444	0.0015251964503857336	0.0015251964503857334	-69980.25031529959	0.0	-1705.777072343752	
370000	-71718.62392852538	-1719.968824759508	-69998.65510376588	320.67846771141546	9475.462258665688	1885.8757935843723	0.0014893242423751488	0.0014893242423751473	-69998.65510376588	0.0	-1705.575223366319	
380000	-71709.16149902639	-1708.7361251975358	-70000.42537382885	285.2385991486914	8986.729685786122	1880.8221307207652	0.001571909691658061	0.0015719096916580607	-70000.42537382885	0.0	-1694.2774526631774	
390000	-71693.69943423578	-1700.208943396815	-69993.49049083896	295.54233212829837	8579.351081636134	1725.8819213105612	0.0016386286938967144	0.0016386286938967131	-69993.49049083896	0.0	-1685.860218692617	
400000	-71686.29946538027	-1695.7084604675445	-69990.59100491273	295.1846134675459	8364.451385996219	1789.689340887559	0.00169709734321633	0.001697097343216331	-69990.59100491273	0.0	-1681.1563009484198	
410000	-71672.74717998023	-1692.8516524057366	-69979.8955275745	277.0956026733385	8245.810283038718	1780.3861200975264	0.0016948412318114573	0.0016948412318114581	-69979.8955275745	0.0	-1678.5181760227367	
420000	-71698.50110525878	-1694.2077985721878	-70004.2933066866	290.68645343771726	8369.305794464846	1673.6197988185675	0.0017149927371216888	0.0017149927371216888	-70004.2933066866	0.0	-1679.5597271999386	
430000	-71679.14001026681	-1687.1282245001562	-69992.01178576666	281.9685327539415	8049.068547845624	1485.7017249409205	0.0017648490627981855	0.0017648490627981833	-69992.01178576666	0.0	-1672.7133268747357	
440000	-71700.15753478472	-1692.4691968362251	-70007.6883379485	271.0965104839161	8260.402517365847	1744.937871987998	0.0017076215615120412	0.0017076215615120414	-70007.6883379485	0.0	-1678.022657403637	
450000	-71706.90934045844	-1693.0894501994856	-70013.81989025895	292.0720556928916	8283.20019652311	1532.285894458631	0.0017120366729762469	0.0017120366729762456	-70013.81989025895	0.0	-1678.697454927565	
460000	-71651.60746763757	-1683.7354555348236	-69967.87201210274	266.7538579944335	7883.047591753976	1568.1644093849673	0.0017905901936481415	0.0017905901936481395	-69967.87201210274	0.0	-1669.338961757045	
470000	-71675.97164777231	-1708.2343793613459	-69967.73726841097	298.3359828355426	8896.611631065201	2000.2842490170997	0.001587938728887342	0.001587938728887346	-69967.73726841097	0.0	-1693.7030678138144	
480000	-71676.27723730364	-1710.6476302113754	-69965.62960709227	289.71721341594485	9058.387378995298	1771.3687361640616	0.001567293340226167	0.001567293340226167	-69965.62960709227	0.0	-1696.1835329942883	
490000	-71659.33870392348	-1710.6217739373997	-69948.71692998608	295.0216081116953	9079.092391823702	1766.4323859050487	0.0015583774617165093	0.0015583774617165074	-69948.71692998608	0.0	-1696.212958646591	
500000	-71649.75758239148	-1704.9579865031974	-69944.79959588828	301.2160392437221	8792.057329270245	1895.426905998888	0.0015868908015558409	0.0015868908015558413	-69944.79959588828	0.0	-1690.6501786176468	
510000	-71666.7343066012	-1716.7099775006236	-69950.02432910058	303.2422266088444	9322.258686827567	1823.5174778243008	0.0015294077805402136	0.0015294077805402138	-69950.02432910058	0.0	-1702.1830724532672	
520000	-71659.06312984132	-1721.4301388349413	-69937.63299100638	307.6854889252713	9501.854678746744	1977.0587630520138	0.001482585353585217	0.0014825853535852167	-69937.63299100638	0.0	-1707.0177028386177	
