state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent 
 0	-72679.61020611906	-1866.2598823847643	-70813.3503237343	10418.38978372133	28774.799230278673	4315.845756229315	7.340328559874162E-4	7.340328559874165E-4	-70813.3503237343	0.0	-1844.9379268061941	
10000	-72709.62049072946	-1861.8509689518023	-70847.76952177766	10433.25476632258	28592.42330628149	3863.062694552243	7.447189813841941E-4	7.447189813841948E-4	-70847.76952177766	0.0	-1840.457768386541	
20000	-72683.43081878831	-1864.7876297421483	-70818.64318904617	10423.803826252539	28765.039011527493	3783.243889704446	7.507793970400495E-4	7.507793970400485E-4	-70818.64318904617	0.0	-1843.1113864120935	
30000	-72680.24986924937	-1866.6481170395625	-70813.60175220981	10463.859574275082	29063.534029318656	4094.409912142526	7.336341076509151E-4	7.336341076509148E-4	-70813.60175220981	0.0	-1845.1837442004507	
40000	-72687.78277562893	-1867.6421510338143	-70820.14062459512	10438.660194016828	29259.21063770582	3905.357343288794	7.226045435458688E-4	7.226045435458682E-4	-70820.14062459512	0.0	-1846.4151420503688	
50000	-72691.39918756155	-1867.9096683350913	-70823.48951922645	10451.156375589422	29232.683580095836	3965.9128568900765	7.179465548043119E-4	7.179465548043114E-4	-70823.48951922645	0.0	-1846.8253866373122	
60000	-72680.22923842077	-1873.168099396155	-70807.06113902462	10430.768800805057	29397.015408006973	4620.607709440955	7.194041102119541E-4	7.19404110211954E-4	-70807.06113902462	0.0	-1851.771987098876	
70000	-72686.10152888876	-1868.0200117453555	-70818.08151714341	10410.882216823271	29103.22937247932	4004.594754112121	7.288422881186177E-4	7.288422881186181E-4	-70818.08151714341	0.0	-1846.6921136512663	
80000	-72686.99257571698	-1870.1450901672144	-70816.84748554976	10426.483114836816	29215.41507836546	3909.4112101422825	7.296639307838836E-4	7.296639307838846E-4	-70816.84748554976	0.0	-1848.7368376933462	
90000	-72674.72223773912	-1869.325678981286	-70805.39655875783	10443.763291856469	29368.33456362477	3829.332304730457	7.050988551471737E-4	7.050988551471732E-4	-70805.39655875783	0.0	-1848.5677116570434	
100000	-72688.52938677884	-1868.4305536563083	-70820.09883312254	10443.59460861765	29238.544123393956	3961.900661755937	7.241444315659388E-4	7.241444315659394E-4	-70820.09883312254	0.0	-1847.1576620533535	
110000	-72680.12117589502	-1870.3022501292398	-70809.81892576578	10453.146426457191	29335.89964766406	4161.834366081925	7.239004718708148E-4	7.239004718708145E-4	-70809.81892576578	0.0	-1848.918614346065	
