# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Sep 24 19:29:32 BST 2020 [seed=1600972161957]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-1238145.9436968344	-95.83449133650507	-1238050.109205498	0.7494247369863152	7.753615548254451	1.0	1.0	1.0	-1238050.109205498	0.0	-118.86034218370516
1000	-886719.6533135566	-317.2953392505328	-886402.357974306	1.9990394830454004	34.320112577166476	5.354947347972245	1.0	1.0	-886402.357974306	0.0	-338.6431692261929
2000	-770136.8687463109	-356.28015259376986	-769780.5885937172	1.362022399291468	37.03920999113883	8.954190052983538	1.0	1.0	-769780.5885937172	0.0	-377.11388185589243
3000	-730361.5391504688	-354.6273297210422	-730006.9118207478	1.2832322749460112	34.95293376771446	7.5433148278894375	1.0	1.0	-730006.9118207478	0.0	-375.63251885048635
4000	-698871.6642671388	-351.7632900019896	-698519.9009771368	1.2276742125560378	32.52817449125872	8.054235256015971	1.0	1.0	-698519.9009771368	0.0	-372.70294277735144
5000	-657694.123224759	-347.74097308823883	-657346.3822516708	0.9735462416420912	28.59372825739491	8.096072170098603	1.0	1.0	-657346.3822516708	0.0	-368.6754449086427
6000	-625907.5532907386	-342.63640840567695	-625564.9168823329	0.9373050130141551	27.218368078723394	7.194260433003981	1.0	1.0	-625564.9168823329	0.0	-363.68897570684044
7000	-609822.5676793224	-335.9553154137309	-609486.6123639087	0.8412231308220435	26.00234042481715	6.752763376570072	1.0	1.0	-609486.6123639087	0.0	-357.0712144507019
8000	-593610.6475560213	-328.0590407677476	-593282.5885152536	0.8190889559420389	24.354661232470168	6.65295239354537	1.0	1.0	-593282.5885152536	0.0	-349.1898308898508
9000	-579897.0453945124	-328.1608429133156	-579568.884551599	0.6755561279557889	22.840011450397295	8.57061204251369	1.0	1.0	-579568.884551599	0.0	-349.0383546135933
10000	-565312.1925983	-319.1456019991045	-564993.0469963009	0.6023377186032792	21.71884655362417	7.007008457932407	1.0	1.0	-564993.0469963009	0.0	-340.2245419898479
11000	-550297.8397666636	-312.72127324519244	-549985.1184934184	0.5773280282344135	21.12428345757168	6.004070887533525	1.0	1.0	-549985.1184934184	0.0	-333.95468637197325
12000	-537015.5339840477	-305.5355739307364	-536709.998410117	0.5083703867486415	19.715336325972807	5.181927626925208	1.0	1.0	-536709.998410117	0.0	-326.9162476621378
13000	-523139.5865312139	-298.6430732091386	-522840.94345800474	0.5039226928772846	18.7746062698025	5.552440034998297	1.0	1.0	-522840.94345800474	0.0	-319.9546865792507
14000	-516463.7942500594	-295.56238578133474	-516168.2318642781	0.47469218260130924	17.94477943123924	6.134431678505093	1.0	1.0	-516168.2318642781	0.0	-316.7743191906034
15000	-510750.1739121895	-290.14998466351307	-510460.02392752597	0.4619055333281285	17.45809257419113	4.781249068606623	1.0	1.0	-510460.02392752597	0.0	-311.6111336869217
16000	-505696.6862798292	-285.90176118999153	-505410.7845186392	0.4612915445715777	16.65147409994044	4.724942464432441	1.0	1.0	-505410.7845186392	0.0	-307.37475665315975
17000	-498732.9216684528	-283.8128438592681	-498449.10882459354	0.4632036089514788	16.24404662308002	4.545689251401122	1.0	1.0	-498449.10882459354	0.0	-305.32451533986324
18000	-493861.7076451847	-283.0832806194444	-493578.62436456524	0.46173022550477905	15.912675506087858	4.427962034388877	1.0	1.0	-493578.62436456524	0.0	-304.6211920258211
19000	-491105.41937215533	-277.0103496782075	-490828.4090224771	0.4594922686395862	15.286214848908326	4.5093733676285845	1.0	1.0	-490828.4090224771	0.0	-298.5300423244226
20000	-488858.86246900354	-277.4973541066121	-488581.3651148969	0.4605563159747509	15.199631468595031	4.201791372405752	1.0	1.0	-488581.3651148969	0.0	-299.087694002216
21000	-485717.6339556833	-276.06190514012314	-485441.5720505432	0.4283813127869396	14.517075627156974	5.205259938955315	1.0	1.0	-485441.5720505432	0.0	-297.4380863462621
22000	-484691.71522038727	-272.79666127710385	-484418.91855911014	0.4164224642705976	14.18707119234598	4.677845872109915	1.0	1.0	-484418.91855911014	0.0	-294.2796744040747
23000	-484181.72074812086	-271.7830940692955	-483909.9376540516	0.41704264857635404	14.017254492209476	4.614597654170077	1.0	1.0	-483909.9376540516	0.0	-293.27972023453634
24000	-483638.6889334832	-270.65966191661516	-483368.0292715666	0.4118266856188177	13.84214058645808	4.098401795738251	1.0	1.0	-483368.0292715666	0.0	-292.27491567201656
25000	-483433.4868304495	-271.8065055105018	-483161.68032493896	0.398841872425707	13.724792005074278	5.041055383125943	1.0	1.0	-483161.68032493896	0.0	-293.21474089612616
26000	-483177.44280559686	-269.44897186526055	-482907.9938337316	0.39365185930956814	13.600203336409917	4.082089570946539	1.0	1.0	-482907.9938337316	0.0	-291.06821370540666
27000	-483027.1939564057	-267.45850391891366	-482759.7354524868	0.3958229633844303	13.43079937839207	4.17439491865592	1.0	1.0	-482759.7354524868	0.0	-289.0553853479775
28000	-482887.40726577083	-266.6235746376703	-482620.78369113314	0.39131498356514866	13.31245762951995	3.8337129308026174	1.0	1.0	-482620.78369113314	0.0	-288.3055917176452
29000	-482759.04581772326	-265.1248213408739	-482493.92099638237	0.3887403413822378	13.208144781496044	4.042267730638346	1.0	1.0	-482493.92099638237	0.0	-286.7538663341168
30000	-482708.81656086934	-265.49860245494716	-482443.3179584144	0.3887491974270477	13.16890055602591	4.575471145302929	1.0	1.0	-482443.3179584144	0.0	-287.00374362614224
31000	-482628.99068643915	-264.54086972048174	-482364.4498167187	0.3902627383123497	13.128652090201996	3.754019333561837	1.0	1.0	-482364.4498167187	0.0	-286.24389347940775
32000	-482570.8436019483	-263.5997839005847	-482307.2438180477	0.3853838364722204	13.026679777556211	4.272143347178598	1.0	1.0	-482307.2438180477	0.0	-285.1735190916387
33000	-482479.8324985463	-262.8500794895065	-482216.98241905676	0.3773009351840012	12.946885332550641	4.048727321334913	1.0	1.0	-482216.98241905676	0.0	-284.47752774661814
34000	-482422.13145084865	-262.35984633795476	-482159.7716045107	0.37775274425991096	12.904027296077478	4.006286670476571	1.0	1.0	-482159.7716045107	0.0	-283.9978323901928
35000	-482398.96521437564	-262.40818946421984	-482136.5570249114	0.3813133414344565	12.887470553369802	3.9745253522295734	1.0	1.0	-482136.5570249114	0.0	-284.0541349786875
36000	-482381.0661744058	-262.4459491853545	-482118.62022522045	0.3776612316157293	12.874690497137875	4.011768753515325	1.0	1.0	-482118.62022522045	0.0	-284.08256780282113
37000	-482360.3081229366	-262.8851472336172	-482097.42297570297	0.37943667081014876	12.830045535970699	3.4839371023450383	1.0	1.0	-482097.42297570297	0.0	-284.6628350752779
38000	-482321.1546512399	-262.7195391659208	-482058.435112074	0.37631740604131786	12.754668035299844	4.601252697313465	1.0	1.0	-482058.435112074	0.0	-284.2190614211968
39000	-482309.63048950623	-260.96635399903937	-482048.6641355072	0.37626685857358394	12.721380641393262	4.052583661394352	1.0	1.0	-482048.6641355072	0.0	-282.5928502274339
40000	-482283.80354322935	-260.7744184375677	-482023.0291247918	0.3787622528172558	12.7158402120934	3.9500241516146333	1.0	1.0	-482023.0291247918	0.0	-282.4265475915406
41000	-482261.07668892224	-260.9675405324916	-482000.1091483898	0.37468577769073297	12.681189456724857	3.541482155058601	1.0	1.0	-482000.1091483898	0.0	-282.72884605230166
42000	-482249.9816661677	-261.18295850603573	-481988.7987076616	0.3755763319717822	12.697390958327524	3.5131067666533116	1.0	1.0	-481988.7987076616	0.0	-282.95230858853995
43000	-482236.2781124619	-260.66964886452695	-481975.60846359737	0.376322597279681	12.691629985485891	3.738233057606678	1.0	1.0	-481975.60846359737	0.0	-282.37688665642787
44000	-482217.8225409196	-260.32822655485444	-481957.49431436474	0.374137046227006	12.667880470546123	3.817545184620385	1.0	1.0	-481957.49431436474	0.0	-282.01446980783305
45000	-482206.2493556736	-260.0707223454659	-481946.1786333282	0.37561031917217036	12.647948745242479	4.040625539720585	1.0	1.0	-481946.1786333282	0.0	-281.7001736761144
46000	-482195.24102486245	-260.3512907743123	-481934.88973408815	0.37392339480215436	12.630506931502222	4.205908028883525	1.0	1.0	-481934.88973408815	0.0	-281.94065141111776
47000	-482186.28807557706	-261.3089894731386	-481924.9790861039	0.3727259522372898	12.60690091709199	3.326928903599106	1.0	1.0	-481924.9790861039	0.0	-283.13279069305304
48000	-482184.0579102952	-260.376141395205	-481923.6817689	0.3720537911026227	12.578427438649456	4.36230345336691	1.0	1.0	-481923.6817689	0.0	-281.928992009561
49000	-482171.7353582937	-259.2942512206861	-481912.441107073	0.37205333534414037	12.567664480573498	3.7439412924459226	1.0	1.0	-481912.441107073	0.0	-280.9999631898302
50000	-482162.8023099958	-259.172209419695	-481903.6301005761	0.37284015370337575	12.55163903325747	3.7310742253552758	1.0	1.0	-481903.6301005761	0.0	-280.88136407862845
51000	-482166.34467121883	-259.268310680017	-481907.07636053883	0.37268607451936153	12.550328585336217	4.146049402684147	1.0	1.0	-481907.07636053883	0.0	-280.8720055975282
52000	-482155.2087262094	-258.8905548760959	-481896.3181713333	0.3741278322251889	12.549832027910169	3.897777658991225	1.0	1.0	-481896.3181713333	0.0	-280.5559991636037
53000	-482144.4876216403	-259.25349164123674	-481885.23412999907	0.3752515005681548	12.538401654338601	3.4916078415181264	1.0	1.0	-481885.23412999907	0.0	-281.02898015873654
54000	-482155.1959739036	-258.8591429503323	-481896.33683095325	0.37025863520419483	12.532433246048232	3.7202839469163123	1.0	1.0	-481896.33683095325	0.0	-280.57119380234406
55000	-482160.5313650592	-259.5167105846381	-481901.01465447457	0.38182295276511025	12.532411552652649	4.389182175373104	1.0	1.0	-481901.01465447457	0.0	-281.06341851473144
