# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Oct 12 22:07:48 BST 2020 [seed=1602536834444]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-552766.1408846122	-116.94336387064445	-552649.1975207416	19.084902686870844	2000.915097313129	50.93576926403874	1.0	1.0	1.0	-552649.1975207416	0.0	-67.40051237008443
1000	-249666.12818813437	-54.13713889021843	-249611.99104924416	18.161413544788736	2001.8385864552113	40.65453265257358	0.8590860999341586	0.18035923627554773	0.18035923627554787	-249611.99104924416	0.0	-49.09319711323014
2000	-192714.74759083986	-77.05369992131494	-192637.69389091854	18.008591895031316	2001.9914081049687	46.586416996568744	1.2681541427228948	0.04355472637957894	0.043554726379578926	-192637.69389091854	0.0	-77.70223695671973
3000	-166596.47599554787	-155.88585743293442	-166440.59013811493	18.318191353292683	2001.6818086467074	83.75557706347738	3.124323129135736	0.019298140487277494	0.01929814048727749	-166440.59013811493	0.0	-156.74577258411222
4000	-154450.33137599094	-189.95412336424758	-154260.3772526267	18.777828841723288	2001.2221711582768	115.59942272590763	5.5208930863940555	0.01553215848518606	0.015532158485186067	-154260.3772526267	0.0	-190.3351970414858
5000	-149409.6692795532	-213.15971258444128	-149196.50956696877	19.930151759606716	2000.0698482403932	144.70293960576913	10.227547315270824	0.011159077495407123	0.011159077495407123	-149196.50956696877	0.0	-213.38260399544004
6000	-146854.8120836686	-225.2898114158718	-146629.52227225274	22.893927287717684	1997.1060727122824	167.19090801066588	10.043844045804883	0.009146170593418703	0.009146170593418703	-146629.52227225274	0.0	-225.78810815401033
7000	-143144.24021979116	-245.2300018398053	-142899.01021795135	23.55440598831143	1996.4455940116886	200.51118883238837	16.134646564888932	0.007143563298005522	0.007143563298005524	-142899.01021795135	0.0	-245.56551041492443
8000	-140116.98509937245	-264.2074458799426	-139852.77765349252	32.5792157070549	1987.4207842929452	256.02335597919017	20.002784217901425	0.0055828709614302	0.005582870961430199	-139852.77765349252	0.0	-264.57652450287355
9000	-139378.1206800159	-276.7907486105038	-139101.3299314054	39.92521839254541	1980.0747816074545	296.1958708385865	26.88872280211117	0.004773558315664467	0.004773558315664466	-139101.3299314054	0.0	-277.0306105509348
10000	-138926.6064142153	-287.7680107699748	-138638.83840344532	45.166413469300096	1974.8335865307	339.6926921245875	30.665292696636406	0.0042574260125387425	0.004257426012538742	-138638.83840344532	0.0	-287.96986378229747
11000	-138590.32169962177	-292.6431484359521	-138297.67855118582	45.85124538386607	1974.1487546161338	356.7998460880061	29.37391315762149	0.004020729913493908	0.0040207299134939105	-138297.67855118582	0.0	-292.95281410167695
12000	-138348.13522042663	-298.27437143925863	-138049.86084898736	48.69010605613049	1971.3098939438696	378.04727512078443	31.547333837494403	0.0037141030054159137	0.003714103005415911	-138049.86084898736	0.0	-298.61172956432205
13000	-138166.8552854621	-301.66167549149833	-137865.19360997062	50.49779361556048	1969.5022063844394	394.4105377800726	29.615861159340064	0.0036667788651578675	0.003666778865157867	-137865.19360997062	0.0	-302.0477012749717
14000	-138067.20081522228	-307.10378661928024	-137760.097028603	53.394147823391584	1966.6058521766083	410.4793048080332	55.87790172650195	0.0035285175679075887	0.0035285175679075896	-137760.097028603	0.0	-306.89197073488833
15000	-137912.60342743248	-313.2434384475438	-137599.35998898494	57.96189251900929	1962.0381074809907	456.5076198533319	38.61102822827326	0.003025443629192812	0.0030254436291928108	-137599.35998898494	0.0	-313.59854896129184
16000	-137827.9992454782	-316.3024697392799	-137511.6967757389	59.76399641212806	1960.236003587872	473.65778706182914	53.15044892941062	0.0029192192738362027	0.002919219273836202	-137511.6967757389	0.0	-316.37272938553537
