# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu May 06 12:45:56 BST 2021 [seed=1620301547338]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	tmrca(node1)	tmrca(node10)	tmrca(node2)	tmrca(node3)	tmrca(node4)	tmrca(node5)	tmrca(node6)	tmrca(node7)	tmrca(node8)	tmrca(node9)	yule.birthRate	clock.rate	meanRate	treeLikelihood	branchRates	speciation
0	-82683.22515711404	-10997.402541329657	-71685.82261578437	1013.6369880865379	5509.093921233315	26.62152147443721	21.918222389276057	161.33619665824608	189.08956284051382	2.691904091363855	276.7256614679173	573.5930512392495	771.1442236453173	897.4931122182123	21.247668058756854	2.0	6.11E-6	6.110000000000001E-6	-71685.82261578437	0.0	-11009.176929119352
10000	-36356.889347202465	-157.89039746665603	-36198.99894973581	56136.20711722782	489479.4308150393	10880.05833630647	50457.821507319284	16038.296642388807	21353.53266782859	18103.93775829624	26957.6939729636	31318.575263440824	46922.280660367294	53142.83898525178	37728.52911772313	5.2640574445665675E-5	5.846009505323024E-6	5.846009505323024E-6	-36198.99894973581	0.0	-153.842782075148
20000	-36359.294636128485	-157.32498957650373	-36201.96964655198	56428.250876608836	504354.87304580974	10835.566371781999	48228.94113770587	17774.333009387934	24094.021440090797	19404.720623514204	28766.766833732658	31944.469980242782	48744.8356230444	56096.69969624053	38422.27249931622	4.1439609442067566E-5	5.717700728534992E-6	5.717700728534993E-6	-36201.96964655198	0.0	-152.0868229605558
30000	-36355.142575583304	-157.88192640614105	-36197.260649177166	54392.0198500215	476140.6671633823	9978.206521701299	45110.87784998442	15930.627446786071	21453.58954587003	18715.150966692978	27854.024921786222	31000.9034956942	45418.95969583819	52533.232826270156	35421.88274857946	5.735551124227378E-5	5.924112588141834E-6	5.924112588141833E-6	-36197.260649177166	0.0	-154.2704324564908
40000	-36361.66203819522	-161.5542925617404	-36200.10774563348	58819.8231397128	520062.6575029387	11184.101946020233	52323.66706425399	18806.673381852564	22708.911243901846	21037.574403611263	29840.474527261507	34031.375638819525	48977.85603290761	56550.19400842254	40420.60121338345	6.0058100843925116E-5	5.661702742524999E-6	5.661702742525001E-6	-36200.10774563348	0.0	-157.59655104903223
50000	-36352.518925023716	-154.8657000036844	-36197.65322502003	48640.21408985541	430677.8752247891	8729.662393390536	42726.777809904175	15163.008489645239	19777.5575224248	16361.845730724193	25494.528189267454	28467.54757995051	40457.32091359499	47163.91590429175	31507.216764298544	3.370305145301036E-5	6.6463023559624865E-6	6.646302355962486E-6	-36197.65322502003	0.0	-148.38814689116913
60000	-36354.34832839186	-155.4160200361371	-36198.932308355725	53662.42256005738	472663.1590892172	9955.715963029135	47136.98459113113	16861.9622893667	20813.444153827502	17596.074349943054	26400.329839445116	30636.18046959046	44673.70802190386	50802.08124786557	37639.40587218491	3.855700525725076E-5	6.018788112163131E-6	6.0187881121631326E-6	-36198.932308355725	0.0	-150.34832173438036
70000	-36352.33353140718	-155.14198467491886	-36197.19154673226	51466.249497138866	453212.80554587627	9375.85323991322	45707.19489738516	14903.047697681593	20281.636113984132	18687.128443940655	26480.43467908397	29553.114902999107	42523.327348462284	49392.97173569148	33518.75948518755	2.9907631217896803E-5	6.2879422268157715E-6	6.2879422268157715E-6	-36197.19154673226	0.0	-148.98068096238458
80000	-36351.148516969406	-155.0777614767518	-36196.070755492656	50783.12258723149	446502.96210422216	9339.628572509973	44065.164863732236	14983.866302162489	20255.65763110988	16356.459317525872	26284.66840878773	29478.979410095064	42785.11849738663	49442.365962922115	33229.76989156397	4.65814725661761E-5	6.426143900378422E-6	6.426143900378421E-6	-36196.070755492656	0.0	-150.46476532396693
90000	-36352.74453921495	-157.048901448797	-36195.695637766155	47608.67940669706	416432.0805546575	8757.083646257393	41906.11751407589	13451.5161626352	19070.64817503897	15692.705799086383	23521.743847160305	26383.024877257194	39701.98361166231	46698.896403772414	32502.92447585304	6.32650436852565E-5	6.886148706753434E-6	6.886148706753436E-6	-36195.695637766155	0.0	-152.03190274777634
