# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Jul 07 01:17:57 BST 2021 [seed=1625617058181]
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-1786020.646352785	-95.51247022260443	-1785925.1338825624	41.17730470132337	1976.8226952986765	82.42479819312882	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	8.5E-4	8.499999999999998E-4	-1785925.1338825624	0.0	-102.73027149668957
5000	-513353.3565453691	-1106.5175469728158	-512246.83899839624	334.05232333698484	1683.947676663015	11079.234093637588	3691.7808834992184	3.9891226099866675	0.23299649347927837	0.28991026741043857	0.2512498380315552	0.22584340107872794	0.4460907103100755	0.0024739069834890997	0.002473906983489098	-512246.83899839624	0.0	-1071.9585049597654
10000	-451489.1444937314	-1052.9163273449885	-450436.22816638637	209.05997554674857	1808.9400244532515	6348.252606027921	1482.805017154664	4.6232301579645965	0.2159296403864556	0.34041249879265406	0.23056169422429018	0.21309616659660024	0.438499901338815	0.003040411661876513	0.003040411661876511	-450436.22816638637	0.0	-992.0835723340291
15000	-410209.705793189	-1073.7932924504412	-409135.9125007386	430.5339624988534	1587.4660375011467	11630.495563340488	2869.164706554213	5.535255853697834	0.20993230010260214	0.3427788444063074	0.2323874246654457	0.21490143082564486	0.44897933067443047	0.0014954534341637131	0.001495453434163712	-409135.9125007386	0.0	-1066.7940428776008
20000	-400690.2174711234	-1069.1395247500195	-399621.0779463734	464.1159685296137	1553.8840314703862	11362.077867012142	2685.1342552178	6.022958490525695	0.20873577948079386	0.3467009557179045	0.23254482169673255	0.21201844310456922	0.44790255596460576	0.0015366371313502616	0.0015366371313502605	-399621.0779463734	0.0	-1061.3978099051712
25000	-397366.83680410555	-1076.9343068981423	-396289.9024972074	512.4144942787184	1505.5855057212816	12401.682703331402	2748.6529945096386	6.022958490525695	0.20925730785983207	0.34568476224062333	0.23144760734050648	0.21361032255903825	0.4319105708404961	0.0014260720677343485	0.0014260720677343492	-396289.9024972074	0.0	-1070.946339817262
30000	-397114.3511549701	-1081.5524741845193	-396032.7986807856	548.3771787958269	1469.622821204173	13091.710474422362	3006.768806548125	6.221323475771615	0.20553601425880685	0.34404872382236773	0.23463967131007535	0.2157755906087501	0.42568557103105154	0.0013731106199602768	0.001373110619960276	-396032.7986807856	0.0	-1076.165641608421
35000	-397056.5666281049	-1087.0875998326705	-395969.4790282722	585.1782702757401	1432.82172972426	13807.088990239303	3363.556502984823	6.1895388213625395	0.20775243839902857	0.34522852161368245	0.23077682042230901	0.21624221956497988	0.4278673228219156	0.0013397716474641988	0.0013397716474641995	-395969.4790282722	0.0	-1082.0142044700556
40000	-397029.5471558429	-1099.4857999537178	-395930.0613558892	655.4614262571315	1362.5385737428685	15437.876844535553	3844.866189423407	6.288329311838352	0.20743115349562705	0.345509006957024	0.23288917373579268	0.2141706658115561	0.42685492205004444	0.001186631661410765	0.0011866316614107652	-395930.0613558892	0.0	-1095.8383776792639
45000	-397027.7528910603	-1113.402438359446	-395914.35045270086	699.7065891506018	1318.2934108493982	16733.25373591839	5266.098845103529	6.278756304106751	0.20791616626117515	0.34537623253605976	0.23268957299688822	0.21401802820587681	0.4293889558977626	0.001098094415489459	0.0010980944154894581	-395914.35045270086	0.0	-1110.084862969666
