# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu May 06 18:06:36 BST 2021 [seed=1620320788356]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-2522284.9167813095	-122.81554363793664	-2522162.1012376714	2.4597802232104984	2.4597802232104984	12.352243278297543	1.0	0.0012	0.0011999999999999995	-2522162.1012376714	0.0	-130.4137982961482
10000	-556739.67740972	-1178.9019766294196	-555560.7754330906	526.2004340255688	526.2004340255688	22726.799223564958	6913.70330397552	6.568182894031289E-4	6.568182894031287E-4	-555560.7754330906	0.0	-1173.9708909463388
20000	-491915.9946761906	-1104.431012283846	-490811.56366390677	379.88824016265727	379.88824016265727	12731.59862657675	3960.9216435985236	9.927840858101656E-4	9.92784085810166E-4	-490811.56366390677	0.0	-1103.2083044879369
30000	-482607.5069373395	-1063.0713646757433	-481544.43557266373	264.04445133190814	264.04445133190814	8914.97556648027	2270.267365526134	0.0013701351135827998	0.0013701351135828013	-481544.43557266373	0.0	-1062.5801419873221
40000	-482474.701217144	-1084.8785043919509	-481389.82271275204	327.424290091962	327.424290091962	10837.885370435957	3584.4873487007967	0.0011113374898545003	0.0011113374898545011	-481389.82271275204	0.0	-1084.1941252975055
50000	-482442.59404150036	-1080.2564453971045	-481362.33759610326	319.97830350314996	319.97830350314996	10500.81387746217	3184.778380267679	0.0011505452180261234	0.0011505452180261232	-481362.33759610326	0.0	-1079.7579898788133
60000	-482475.68009388965	-1129.5889786417408	-481346.0911152479	463.31554407819874	463.31554407819874	15385.676907970796	4080.534181277894	7.886355388968091E-4	7.886355388968088E-4	-481346.0911152479	0.0	-1126.7579911161065
70000	-482434.8483300775	-1086.3129545852269	-481348.53537549224	332.95648472826207	332.95648472826207	11034.558523291396	3255.6546462387328	0.0010987129898296776	0.0010987129898296767	-481348.53537549224	0.0	-1085.694822358456
80000	-482438.81393776764	-1085.847393416265	-481352.96654435137	327.57087949992024	327.57087949992024	10964.684945714169	3228.4682665410082	0.0011042600922235672	0.0011042600922235688	-481352.96654435137	0.0	-1085.2513083673603
90000	-482369.24357051845	-1037.317272372315	-481331.92629814614	216.21423066415718	216.21423066415718	7144.168031520305	2196.667211948664	0.0017028255633582238	0.0017028255633582227	-481331.92629814614	0.0	-1034.0604111038851
