# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed May 05 15:49:24 BST 2021 [seed=1620226059811]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-580085.2531182411	-45.54896528931742	-580039.7041529517	0.561291470149123	5.2753977202348725	1.0	5.5E-4	5.500000000000002E-4	-580039.7041529517	0.0	-53.840367128088936
10000	-138084.53693417722	-477.34375429416593	-137607.19317988306	325.0095147566728	3461.0200910469475	569.6640818027764	4.5212944969959446E-4	4.521294496995946E-4	-137607.19317988306	0.0	-478.8111770451975
20000	-137287.52558654625	-434.229607717034	-136853.2959788292	220.6325365400448	1999.415176832312	245.6408616776953	6.669502123278556E-4	6.669502123278555E-4	-136853.2959788292	0.0	-436.3332713902856
30000	-137268.4480525836	-438.2584346754457	-136830.18961790815	243.98077265097135	2201.5127809378046	337.1894599602481	6.016525550354869E-4	6.016525550354873E-4	-136830.18961790815	0.0	-440.5957922240252
40000	-137220.7386308845	-446.5017083052533	-136774.23692257924	276.90648299275205	2478.8485426134307	270.12958975525413	5.324470133645242E-4	5.324470133645244E-4	-136774.23692257924	0.0	-449.1788029711236
50000	-137194.8070360084	-418.86993370181506	-136775.93710230658	176.82245434067602	1572.1532684153942	201.730873026105	8.328756792562711E-4	8.328756792562711E-4	-136775.93710230658	0.0	-417.8534685475189
60000	-137245.857268732	-453.59592505252255	-136792.26134367948	307.3339443517716	2780.679648981069	438.4815692826582	4.810660287688501E-4	4.810660287688502E-4	-136792.26134367948	0.0	-455.5664144921627
70000	-137183.07848740014	-428.12890921111654	-136754.94957818903	212.77933630707096	1902.5446691252057	278.10469107890106	6.99728611355147E-4	6.997286113551462E-4	-136754.94957818903	0.0	-429.6713805675566
80000	-137192.88993045574	-434.9222954038182	-136757.96763505193	237.22946318443314	2127.179202848926	295.06340434276257	6.121223805326893E-4	6.121223805326891E-4	-136757.96763505193	0.0	-437.33354747121615
90000	-137190.5882443809	-444.16550848062246	-136746.42273590027	261.2081171848628	2360.795475355499	424.6827336920515	5.594404601820415E-4	5.594404601820412E-4	-136746.42273590027	0.0	-446.40111182378354
100000	-137203.38326481942	-447.9756213081749	-136755.40764351125	280.1582650622164	2562.185130173487	382.1471800376699	5.213789728345088E-4	5.213789728345084E-4	-136755.40764351125	0.0	-450.2802591646871
110000	-137191.5914865597	-437.7506424218113	-136753.84084413789	241.41081218974358	2163.8172421964564	313.18143760756345	6.054653866790052E-4	6.054653866790055E-4	-136753.84084413789	0.0	-440.1414411091479
120000	-137189.86826924296	-435.3738660507083	-136754.49440319225	233.45364576437052	2089.771004626184	345.51237428861674	6.2848086378002E-4	6.284808637800201E-4	-136754.49440319225	0.0	-437.51227713233396
130000	-137181.08284628767	-433.3903284901942	-136747.69251779746	223.8703334764073	1992.7532522798165	384.8406521860516	6.631961092886196E-4	6.631961092886194E-4	-136747.69251779746	0.0	-435.08823301287595
140000	-137182.18205301478	-436.3562161084384	-136745.82583690636	235.60036612060162	2099.7335673041744	253.67228193223502	6.206726790615042E-4	6.206726790615039E-4	-136745.82583690636	0.0	-438.8618433635797
150000	-137227.7373342398	-469.66165324723517	-136758.07568099257	386.8547603821507	3494.9217982266537	511.2280796942889	3.84569764772764E-4	3.84569764772764E-4	-136758.07568099257	0.0	-470.3478811191055
160000	-137173.76916306553	-427.9087644779882	-136745.86039858754	205.50509630930273	1851.33911721509	229.43896659400718	7.103788858083113E-4	7.103788858083113E-4	-136745.86039858754	0.0	-429.4784599127387
170000	-137178.48676496887	-437.17973235973477	-136741.30703260913	253.63338070670977	2264.718057228305	325.49087738030124	5.81893742704711E-4	5.818937427047109E-4	-136741.30703260913	0.0	-439.6349392225461
180000	-137163.96608617107	-418.355958494164	-136745.61012767692	175.05620539437936	1562.3090759308234	250.9454077312656	8.426635552483062E-4	8.426635552483063E-4	-136745.61012767692	0.0	-416.8395270880098
190000	-137200.5693107448	-445.0162497219236	-136755.55306102286	267.5249332046129	2434.954540708735	387.1556557141169	5.437317504334574E-4	5.437317504334576E-4	-136755.55306102286	0.0	-447.3468601897515
200000	-137195.72362773537	-450.42030002108874	-136745.30332771427	273.4436011190111	2519.8416864273277	486.61462206968804	5.248401585347058E-4	5.248401585347064E-4	-136745.30332771427	0.0	-452.4925784993693
210000	-137214.74146066754	-458.7733539101319	-136755.9681067574	337.6799044827666	2995.100410274714	469.34708428304805	4.379833469371255E-4	4.379833469371256E-4	-136755.9681067574	0.0	-460.28602667421376
220000	-137071.01849817968	-438.7059402703257	-136632.31255790935	252.9720719766269	2259.373320271529	315.57137137485626	5.811286137331149E-4	5.811286137331149E-4	-136632.31255790935	0.0	-441.1945077063328
230000	-137095.87910099822	-462.67792633962324	-136633.2011746586	356.08321588703075	3202.1360363623935	442.0050138859438	4.087887626852014E-4	4.087887626852011E-4	-136633.2011746586	0.0	-463.8809762755492
240000	-137060.28760694282	-429.57735863557065	-136630.71024830724	221.91196517045265	1960.6161598307967	305.8015094167977	6.628741301591708E-4	6.62874130159171E-4	-136630.71024830724	0.0	-431.50879578193917
250000	-137087.26835349924	-454.40268273011293	-136632.86567076913	318.76590184265706	2820.2657846313255	472.86123887536127	4.6230080266796347E-4	4.623008026679634E-4	-136632.86567076913	0.0	-456.1507251266978
260000	-137073.5504434029	-442.67068080224493	-136630.87976260064	276.0876939926278	2443.649998174573	311.14409910740943	5.413338418777089E-4	5.413338418777085E-4	-136630.87976260064	0.0	-445.2180713801352
270000	-137068.9335922123	-447.54925325522777	-136621.38433895708	279.6482493519089	2543.479034310477	389.3532688810915	5.216456719422968E-4	5.216456719422966E-4	-136621.38433895708	0.0	-449.835969620292
280000	-137076.2220936735	-452.90633641205005	-136623.31575726147	312.91625688393907	2800.7233077319715	440.70485645790416	4.630400072595806E-4	4.6304000725958075E-4	-136623.31575726147	0.0	-454.73126084229096
290000	-137081.0520991317	-449.7523414336959	-136631.299757698	295.3419757020866	2655.3644338708355	328.59864913390476	4.933496895019377E-4	4.933496895019376E-4	-136631.299757698	0.0	-452.08844329387045
300000	-137062.2422661099	-431.6392042612617	-136630.60306184864	226.94618291260272	2027.93248203595	317.9447789636917	6.436416467251368E-4	6.436416467251363E-4	-136630.60306184864	0.0	-433.7302904833199
310000	-137062.5272048382	-432.72651213747736	-136629.80069270072	234.00915007146298	2080.739901313163	312.6860786332405	6.35347339166511E-4	6.353473391665113E-4	-136629.80069270072	0.0	-434.90850581751687
320000	-137070.2499283139	-455.7589251524234	-136614.49100316147	326.64750181866657	2911.8872914705566	468.3135130560658	4.491171868614621E-4	4.491171868614621E-4	-136614.49100316147	0.0	-457.3923219205302
330000	-137062.35301903708	-428.4625784158947	-136633.89044062118	216.6305304224193	1913.2322535460276	236.4456905927813	6.859458796980123E-4	6.859458796980123E-4	-136633.89044062118	0.0	-430.36419760084726
340000	-137052.57672244898	-439.07792234930673	-136613.49880009968	262.6957623904844	2315.40251011176	291.0677930789755	5.568179745259145E-4	5.568179745259146E-4	-136613.49880009968	0.0	-441.6934437433002
350000	-137084.68502970043	-477.49196325394973	-136607.1930664465	447.8099941171327	4004.849469917519	579.1673043946372	3.2314010057108713E-4	3.2314010057108735E-4	-136607.1930664465	0.0	-476.84850300439314
360000	-137047.04239517092	-429.39690685102835	-136617.6454883199	224.1415918687102	1994.9202299820704	238.07623587354706	6.497955181091421E-4	6.49795518109142E-4	-136617.6454883199	0.0	-431.71776047688945
