# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Jul 06 21:02:56 BST 2021 [seed=1625601759709]
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-534606.5796262639	-680.7686724489901	-533925.810953815	18.00474032917682	2001.995259670823	44.10710892868763	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	7.8E-4	0.3333333333333333	1.3898071365021903E-4	7.119662076360176	-0.023494923456061204	-533925.810953815	-632.7794785592257	-53.353754633077564
100000	-127433.84510043412	-1130.607147506301	-126303.23795292781	383.06459304792304	1636.9354069520768	4456.35172353369	674.8704720209786	6.003376093689601	0.2909841136907663	0.19498716068511565	0.17145755806562657	0.3425711675584915	0.23534844876280536	7.543078290185038E-4	0.002185166425959835	4.798508344144367E-4	1.1319763017593463	0.09436345959597191	-126303.23795292781	-632.7794785592257	-497.48844029558524
200000	-127018.38740440099	-1123.4234963456029	-125894.96390805539	505.64725373095666	1514.3527462690433	4929.005076991808	614.5820307836033	5.707422136960917	0.29270218609791754	0.19513059492402268	0.17138302372127703	0.34078419525678266	0.23478666245678353	6.839276507517095E-4	0.0019542622965613497	4.055759398622978E-4	1.2759918788133335	-0.015491803328098252	-125894.96390805539	-632.7794785592257	-491.6658096491069
300000	-126957.53410367196	-1111.0200835833666	-125846.5140200886	482.78675106372395	1537.2132489362762	4252.478370856323	752.0972101580975	5.9089056580249055	0.2926059017928446	0.19419712624843607	0.1717458029991003	0.341451168959619	0.2365731168607209	6.706895057091607E-4	0.001545463140983837	4.566911837482235E-4	1.218168829774472	-0.08646952941731591	-125846.5140200886	-632.7794785592257	-479.17511186015787
400000	-126916.94903889272	-1104.7842511032886	-125812.16478778943	504.0835763518828	1515.9164236481172	4237.350530494748	516.7672122824368	5.825102708631749	0.2931981097764034	0.19161036803529033	0.17142171451291727	0.34376980767538934	0.24371505729414333	5.842096631833913E-4	0.0010854999599175866	4.601768763326793E-4	0.9696709529378833	-0.10614553117101268	-125812.16478778943	-632.7794785592257	-473.99274820147724
500000	-126939.78097392245	-1100.901888956487	-125838.87908496596	541.8600001854219	1478.139999814578	4084.694797287343	538.9513959937998	5.74781453751389	0.2891170495132033	0.19452752768145903	0.1737789897765959	0.342576433028742	0.23771061835035606	5.661368442748553E-4	8.845063024994003E-4	4.899435352616182E-4	1.0394150505179791	-0.05158859378622024	-125838.87908496596	-632.7794785592257	-470.14627544988724
600000	-126924.52986847836	-1094.2338277830713	-125830.29604069529	546.4225988099574	1473.5774011900426	3894.890178999086	411.84218070990465	5.830963244654449	0.29454243890925647	0.19138405772897477	0.1719827311278535	0.34209077223391543	0.240630982952309	5.957618367301577E-4	9.278601118309294E-4	5.096412479574817E-4	0.9750821958124507	-0.13295041829517368	-125830.29604069529	-632.7794785592257	-463.62822959029387
700000	-126932.03755619166	-1108.1598521870737	-125823.87770400458	695.5921224435757	1324.4078775564244	4552.167680366334	545.3006800847961	5.824624635225021	0.2888385650570948	0.19236629587253215	0.1742110686025084	0.3445840704678649	0.23768969391960873	6.170371412428757E-4	0.0012904891149544176	4.144973571493259E-4	1.0994534583912718	-0.09387542643169616	-125823.87770400458	-632.7794785592257	-477.1599784475008
800000	-126901.4384494397	-1113.7610379294206	-125787.67741151027	971.3043666662456	1048.6956333337544	5551.804492966124	600.7580283237785	5.854535851455079	0.28897695691696357	0.19877531929083891	0.17104610013640054	0.34120162365579715	0.2383975232093635	5.150871417998791E-4	0.0010577193844923324	3.634051137648935E-4	0.9551543987696967	-0.08019476344002084	-125787.67741151027	-632.7794785592257	-482.8197166380543
900000	-126817.26535274916	-1091.9401303317386	-125725.32522241742	651.2193839818741	1368.7806160181258	3916.6682427691717	469.54594963773303	5.907361883908366	0.2900690876542327	0.19548742254279436	0.1707542438226424	0.3436892459803309	0.23461158643553143	5.941348792526834E-4	9.542068859670496E-4	4.908843153395526E-4	1.006134748094176	-0.1485843015131574	-125725.32522241742	-632.7794785592257	-461.2032494423288
1000000	-126840.71185227275	-1100.9544450162803	-125739.75740725647	649.8634105108918	1370.1365894891082	4151.777189928287	596.3546850112384	5.6890368972856455	0.29053271459320185	0.1915992347803738	0.1732099338526668	0.3446581167737577	0.24280243170306967	5.118429867806727E-4	5.954621418749774E-4	4.739044826506499E-4	0.7867734402527394	-0.04770796926808793	-125739.75740725647	-632.7794785592257	-470.0436977611976
1100000	-126784.66941223863	-1093.2348920041482	-125691.43452023447	481.3005506705243	1538.6994493294758	3627.29565192089	414.97648933404	5.770275954184319	0.2894714288268884	0.1964755272458449	0.17136939678469637	0.34268364714257094	0.24589900718093163	4.955885646434078E-4	3.979501316769675E-4	5.301013738038916E-4	0.5736397323928928	0.016177302531005487	-125691.43452023447	-632.7794785592257	-462.5849803648281
